Name,Address,Required Demolition,Stories,Total Units,Below Market Rate Units,Year City Approved,Year Building Completed,Notes,Latitude,Longitude,Incomplete Project?
2100 Milvia,"2100 Milvia St, Berkeley, CA 94704",Existing two story office building.,8,201,None listed,Not yet approved,Not completed,,37.8706386,-122.2711248,True
2065 Kittredge,"2065 Kittredge, Berkeley, CA 94704",Portions of existing City Landmark commercial buildings.,8,187,9,2023,Not completed,Building permit expired 2025.,37.8685883,-122.2689989,True
2450 Shattuck,"2450 Shattuck Ave., Berkeley, CA 94704",,8,94,None listed,Not yet approved,Not completed,Corrections pending from applicant.,37.8646885,-122.2679143,True
2036 Bancroft,"2036 Bancroft Way, Berkeley, CA 94704",Two existing landmarked buildings and a partial landmarked commercial office building.,8,87,4,Not yet approved,Not completed,Currently under review.,37.8672366,-122.2685522,True
Aquatic at U,"2001 Milvia Street, Berkeley, CA",One existing commercial and one mixed-use structure containing two dwelling units.,8,82,None listed,2021,2023,Also known as 2000 University. Building permit expired 2023.,37.8714509,-122.2704901,False
2037 Durant,"2037 Durant Ave, Berkeley, CA 94704","A one-story, 13,000 square-foot commercial building.",8,74,4,2024,Not completed,,37.866857,-122.2684903,True
2138 Kittredge,"2138 Kittredge St, Berkeley, CA 94704",Existing 3-unit residential building.,8,66,5,Not yet approved,Not completed,,37.8684392,-122.2670301,True
2440 Shattuck,"2440 Shattuck Ave, Berkeley, CA 94704",One existing commercial building.,8,40,None listed,2022,2025,,37.8649863,-122.2679143,False
1899 Oxford,"1899 Oxford St, Berkeley, CA 94709",An existing non-landmarked structure and surface parking.,7,214,33,Not yet approved,Not completed,,37.874504,-122.266071,True
2176 Kittredge,"2176 Kittredge St, Berkeley, CA 94704",One-story convenience store and carwash facility.,7,165,None listed,2020,2022,,37.8682747,-122.2664878,False
2550 Shattuck,"2550 Shattuck Ave, Berkeley, CA 94704","A 2-story (25 feet) 14,296 square-foot non-residential building.",7,72,15,2024,Not completed,"Technically zoned as ""Adeline Corridor Commercial District (C-AC)"".",37.8627775,-122.2676409,True
2099 Martin Luther King,"2099 Martin Luther King, Berkeley, CA",Goodyear Tires.,7,72,5,2020,2024,,37.8708929,-122.272668,False
The Artisan,"2072 Addison, Berkeley, CA 94704",,7,66,None listed,2019,2023,,37.8708785,-122.2688715,False
2023 Shattuck,"2023 Shattuck Ave, Berkeley, CA, 94704",,7,48,4,2020,2023,,37.871682,-122.267474,False
2012 Berkeley Way,"2012 Berkeley Way, Berkeley, CA",Existing City parking lot with 112 spaces.,6,142,142,2018,2022,"142 affordable housing units, transitional dorms (6 rooms, 12 beds), temporary housing (32 beds), and support services. Joint project between BRIDGE Housing and the Berkeley Food and Housing Project. ",37.87265379999999,-122.269781,False
2127 Dwight,"2127 Dwight Way, Berkeley, CA 94704",Two of the existing four residential buildings (demolish eight units and retain eight units).,6,58,8,2023,Not completed,"Technically zoned as ""South Area Commercial District"".",37.8642813,-122.2665007,True
B28,"2028 Bancroft Way, Berkeley, CA 94704",,6,37,2,2019,2023,,37.8671991,-122.2689042,False
2018 Blake,"2018 Blake St, Berkeley, CA 94704",A single-family dwelling.,6,12,2,2022,Not completed,,37.8626292,-122.2688669,True
